#                                                     Sat May  9 17:06:41 2020
#          I------------------------------------------------------------------------------------------------------------------------I
#          I                                                                                                                        I
#          I      BC_GALAXEV  ---  MODEL PARAMETERS:   Generic file name for this model = Template11                                I
#          I                                                                                                                        I
#          I      TRACKS: Padova (1994) + S. Charlot (1997). X=0.70, Y=0.28, Z=0.02                                                 I
#          I                                                                                                                        I
#          I      S.F.R.: Exponential with MU9 = 0.865/Gyr      TAU =   0.500 Gyr (does not include processed gas recycling)        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I      I.M.F.: Lognormal + power law                                                                                     I
#          I                                                                      mass in      number                               I
#          I                                                  from m     to m     segment    of stars      c                        I
#          I                                        lognormal*******     1.00      0.0000      0.0000                               I
#          I                                          x=1.3     1.00*********      2.4749      0.5722                               I
#          I                                                                                                                        I
#          I                                                           totals      1.0000      1.4903  0.6710 Mo/star               I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I      LISTED: Rest frame properties                                                                                     I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                              (C) 1995-2017 G. Bruzual A. & S. Charlot - All Rights Reserved                            I
#          I------------------------------------------------------------------------------------------------------------------------I
#
#    (1)       (2)       (3)       (4)        (5)       (6)          (7)          (8)          (9)         (10)         (11)           (12)        (13)        (14)        (15)        (16)        (17)
#                                                                                                                      M*_tot=
#log-age-yr    Mbol      Bmag      Vmag      Kmag      M*_liv     M_remnants    M_ret_gas    M_galaxy      SFR/yr    M*_liv+M_rem   M*_tot/Lb   M*_tot/Lv   M*_tot/Lk   M*_liv/Lb   M*_liv/Lv   M*_liv/Lk
  6.020000    3.8985    7.3417    7.6361    8.3386   2.0921E-03   6.0017E-10   0.0000E+00   0.0000E+00   1.9958E-09   2.0921E-03   1.1947E-02  2.8512E-02  2.1878E-01  1.1947E-02  2.8512E-02  2.1878E-01
  6.040001    3.8463    7.2801    7.5741    8.2780   2.1906E-03   1.1694E-09   0.0000E+00   0.0000E+00   1.9956E-09   2.1906E-03   1.1819E-02  2.8196E-02  2.1665E-01  1.1819E-02  2.8196E-02  2.1665E-01
  6.059999    3.7944    7.2192    7.5128    8.2181   2.2937E-03   1.9241E-09   0.0000E+00   0.0000E+00   1.9954E-09   2.2937E-03   1.1700E-02  2.7903E-02  2.1467E-01  1.1700E-02  2.7903E-02  2.1467E-01
  6.079998    3.7427    7.1588    7.4521    8.1587   2.4016E-03   2.7170E-09   0.0000E+00   0.0000E+00   1.9952E-09   2.4016E-03   1.1589E-02  2.7628E-02  2.1281E-01  1.1589E-02  2.7628E-02  2.1281E-01
  6.100002    3.6912    7.0989    7.3918    8.0997   2.5147E-03   3.7367E-09   0.0000E+00   0.0000E+00   1.9950E-09   2.5147E-03   1.1482E-02  2.7366E-02  2.1104E-01  1.1482E-02  2.7366E-02  2.1104E-01
  6.120001    3.6403    7.0396    7.3322    8.0413   2.6330E-03   6.2122E-09   0.0000E+00   0.0000E+00   1.9947E-09   2.6331E-03   1.1385E-02  2.7124E-02  2.0941E-01  1.1385E-02  2.7124E-02  2.0941E-01
  6.139998    3.5898    6.9810    7.2732    7.9834   2.7570E-03   1.0074E-08   0.0000E+00   0.0000E+00   1.9945E-09   2.7570E-03   1.1293E-02  2.6898E-02  2.0788E-01  1.1293E-02  2.6898E-02  2.0788E-01
  6.160000    3.5394    6.9225    7.2144    7.9258   2.8867E-03   1.4240E-08   0.0000E+00   0.0000E+00   1.9942E-09   2.8867E-03   1.1205E-02  2.6679E-02  2.0640E-01  1.1205E-02  2.6679E-02  2.0640E-01
  6.180000    3.4891    6.8642    7.1558    7.8683   3.0225E-03   1.8997E-08   0.0000E+00   0.0000E+00   1.9940E-09   3.0226E-03   1.1119E-02  2.6467E-02  2.0497E-01  1.1119E-02  2.6467E-02  2.0497E-01
  6.199999    3.4391    6.8062    7.0975    7.8110   3.1648E-03   2.4747E-08   0.0000E+00   0.0000E+00   1.9937E-09   3.1648E-03   1.1036E-02  2.6263E-02  2.0359E-01  1.1036E-02  2.6263E-02  2.0359E-01
  6.220001    3.3900    6.7492    7.0402    7.7547   3.3137E-03   3.5174E-08   0.0000E+00   0.0000E+00   1.9934E-09   3.3137E-03   1.0965E-02  2.6084E-02  2.0239E-01  1.0965E-02  2.6084E-02  2.0239E-01
  6.240000    3.3405    6.6917    6.9824    7.6980   3.4696E-03   5.0211E-08   0.0000E+00   0.0000E+00   1.9931E-09   3.4696E-03   1.0889E-02  2.5896E-02  2.0113E-01  1.0888E-02  2.5895E-02  2.0112E-01
  6.260000    3.2907    6.6339    6.9243    7.6410   3.6328E-03   6.5926E-08   0.0000E+00   0.0000E+00   1.9927E-09   3.6329E-03   1.0810E-02  2.5701E-02  1.9982E-01  1.0810E-02  2.5701E-02  1.9982E-01
  6.280000    3.2431    6.5782    6.8682    7.5858   3.8036E-03   8.7026E-08   0.0000E+00   0.0000E+00   1.9924E-09   3.8037E-03   1.0752E-02  2.5556E-02  1.9885E-01  1.0752E-02  2.5556E-02  1.9885E-01
  6.299999    3.1974    6.5245    6.8141    7.5324   3.9822E-03   1.2052E-07   0.0000E+00   0.0000E+00   1.9920E-09   3.9823E-03   1.0713E-02  2.5455E-02  1.9819E-01  1.0713E-02  2.5454E-02  1.9818E-01
  6.319999    3.1501    6.4694    6.7586    7.4777   4.1692E-03   1.6240E-07   0.0000E+00   0.0000E+00   1.9917E-09   4.1693E-03   1.0662E-02  2.5323E-02  1.9731E-01  1.0661E-02  2.5322E-02  1.9730E-01
  6.340000    3.1017    6.4133    6.7021    7.4221   4.3651E-03   2.0621E-07   0.0000E+00   0.0000E+00   1.9913E-09   4.3653E-03   1.0601E-02  2.5169E-02  1.9627E-01  1.0600E-02  2.5168E-02  1.9626E-01
  6.360001    3.0531    6.3570    6.6454    7.3662   4.5702E-03   2.5205E-07   0.0000E+00   0.0000E+00   1.9909E-09   4.5705E-03   1.0538E-02  2.5010E-02  1.9519E-01  1.0538E-02  2.5008E-02  1.9518E-01
  6.380000    3.0051    6.3012    6.5889    7.3106   4.7847E-03   3.0006E-07   0.0000E+00   0.0000E+00   1.9904E-09   4.7850E-03   1.0480E-02  2.4857E-02  1.9414E-01  1.0479E-02  2.4855E-02  1.9413E-01
  6.399999    2.9556    6.2390    6.5259    7.2490   5.0088E-03   3.5033E-07   0.0000E+00   0.0000E+00   1.9900E-09   5.0091E-03   1.0360E-02  2.4554E-02  1.9203E-01  1.0359E-02  2.4552E-02  1.9202E-01
  6.420001    2.9065    6.1726    6.4584    7.1834   5.2424E-03   4.1930E-07   0.0000E+00   0.0000E+00   1.9895E-09   5.2428E-03   1.0200E-02  2.4150E-02  1.8920E-01  1.0199E-02  2.4148E-02  1.8918E-01
  6.440000    2.8591    6.1069    6.3914    7.1181   5.4862E-03   5.0879E-07   0.0000E+00   0.0000E+00   1.9890E-09   5.4867E-03   1.0047E-02  2.3762E-02  1.8644E-01  1.0046E-02  2.3760E-02  1.8642E-01
  6.460000    2.8161    6.0464    6.3299    7.0577   5.7393E-03   6.6938E-07   0.0000E+00   0.0000E+00   1.9885E-09   5.7400E-03   9.9419E-03  2.3489E-02  1.8450E-01  9.9408E-03  2.3487E-02  1.8448E-01
